,name,roastery,info,address,img
481,[다크] 케냐 키리냐가 아실리 AA+ 워시드,루비아 커피,"루비아는 편안하지만 특별한 한 잔을 제공 합니다.

커피가 가진 깊고 진한 풍미에 스페셜티의 특별함을 더합니다.
풀시티로 로스팅 되는 루비아의 커피들과 함께 스페셜티 커피의 다음을 만나 보세요.","경기도 성남시 중원구 사기막골로 124, 비즈센터 1412호 루비아",https://d2wosiipoa41qn.cloudfront.net/RHHevs61YwDv8CkPlU3VIABbG0Q=/200x200/s3.ap-northeast-2.amazonaws.com/koke-uploads/images/20230807/bf743cab9218454b865ccb15ea35e51d.png
482,에티오피아 게이샤 피치 G1,조바티커피,"조바티커피 로스터스입니다. Jobatti Coffee Roasters (JCR)

""Coffee-Impressionism""

스타벅스 같은 세계적인 로스터리 카페를 꿈꾸며 조바티커피를 만들고 있습니다. 대한민국을 대표하는 로스터리로 거듭나겠습니다.
감사합니다.",경기 고양시 일산동구 일산로372번길 30-5 1층,https://d2wosiipoa41qn.cloudfront.net/rUy22YzhscqnUI2o8p00NAjWOYg=/200x200/s3.ap-northeast-2.amazonaws.com/koke-uploads/images/20230502/c8f544fed4714867b09132c649209fe6.png
483,COLOMBIA TAMARA(콜롬비아 타마라),마그마커피,"마그마 커피는 세계 커피 산업에서 수십 년 동안 활동해 온 '토마스 하지스(Thomas L. Hodges)'와 '아르만도 시에라(Armando Sierra)' 두 사람의 오랜 경험과 가치를 한국 커피 시장에 전하고자 합니다.
전 세계 산지를 돌며 엄선한 스페셜티 커피를 다이렉트 트레이드하고 있는 마그마 커피는 수십 년에 걸쳐 축적된 노하우를 토대로 생두 수입부터 원두 로스팅까지 전 과정을 세심하게 QC하고 있으며, 각각의 커피가 가진 개성을 살려 최상의 기술로 로스팅 합니다.
마그마 커피는 커피가 가진 본연의 맛을 온전히 느낄 수 있도록, 마지막 한 모금까지 기분 좋게 마실 수 있는 균형감 있는 스페셜티 커피를 제공합니다.",서울특별시 강남구 학동로50길 42 302호,https://d2wosiipoa41qn.cloudfront.net/Ci4T2m3NpH-hy6oN5PFNvGhDDls=/200x200/s3.ap-northeast-2.amazonaws.com/koke-uploads/images/20230703/94ee3ae8b9da4a9fa1af96f3fa14f97c.jpeg
484,케냐AA 디카페인,운조커피,"커피가 나에게 준 커다란 변화를 모두와 나누고 싶습니다.
나의 이름이 붙은 커피를 만들고 좋은 생두를 찾고 최적의 로스팅을 위해
매일 새로운 시도와 연구를 하며 느리지만 정직한 과정을 한 잔에 담겠습니다.

지나간 시간의 고통과 노력들이 더 나은 맛으로 나타남을 알기에
지금도 앞으로도 기쁘게 고민하고 천천히 완성해 가겠습니다.",경기도 화성시 동탄지성로 306번길 68,https://d2wosiipoa41qn.cloudfront.net/MOJEAUd2_XWMmDSd3NM88TuBFf0=/200x200/s3.ap-northeast-2.amazonaws.com/koke-uploads/images/20230203/3311412e756b4e9eb204d7ee4e1242f6.jpeg
485,브라질 파젠다 산타루시아 펄프드내추럴,카페소소한사치,"매일 신선한 커피를 로스팅하는 소소한사치 입니다.

신선한 뉴크롭의 커피로 로스팅한 원두를
큐그레이더가 커핑과 추출까지 품질관리를 하고 있습니다.

항상 정성껏 준비한 커피로 인사드리겠습니다.",경기도 부천시 소사구 호현로 489,https://d2wosiipoa41qn.cloudfront.net/nD5RMxzTqFW_rcZeyZcD0vNUMaY=/200x200/s3.ap-northeast-2.amazonaws.com/koke-uploads/images/20221107/34b8a79259b44b7cbd0b81dac1fb4fe5.jpeg
486,콜롬비아 핀카 라 에스메랄다 아나에어로빅 허니,리버벨,"""그래, 어제 마셨던 그 커피""

편안하고, 안정적인, 항상 곁에 있었던 커피를 추구 하고 있습니다.
카페로서 커피로서 역할에 충실 합니다.

""커피 한잔의 힘은 생각보다 강하다고 믿습니다.""",서울 관악구 남현2길 18 1층,https://d2wosiipoa41qn.cloudfront.net/iTkno-PXi-H-tw9-kYez1kWceSA=/200x200/s3.ap-northeast-2.amazonaws.com/koke-uploads/images/20210806/e341b6206d6f43ae8a122f343d6c6568.png
487,핀카 엘피날 린다 비스타 게이샤,수수커피,"수수커피는 '수수하다'라는 사전적 의미처럼 꾸미지 않고 커피가 가진 본연의 맛을 추구합니다.
생두가 한 잔의 커피가 되기까지 여정의 마무리는 결국 '마시는 사람'입니다. 커피를 내려 마실 때 그 원두가 가진 스토리를 알고 있는지, 어떤 페어링을 하는지, 어떤 부분에서 어떤 노트를 찾는지에 따라 한 잔에 대한 감각은 달라질 수 있습니다.
저희는 마시는 사람에게 아직은 낯선 원두에 설레는 호기심을 불어 넣고, 취향으로서의 커피를 즐길 수 있게 돕고자 합니다.",서울시 강남구 강남대로154길 24 준영빌딩 1층,https://d2wosiipoa41qn.cloudfront.net/85nB2pFFQURMbNcOUglfb9-odyM=/200x200/s3.ap-northeast-2.amazonaws.com/koke-uploads/images/20211011/ef17efec65a7448d8a722fe46b90777a.jpg
488,Harum 블렌딩,제이엠디커피팩토리,"“JMD만의 명품 원두로 그 이상의 무한함을 창조하고자 합니다.”
커피는 이제 단지 특별한 음료, 사치스러운 이미지에 국한되지 않습니다.
30년 이상 경력의 해외현지 최고 로스터가 최고의 맛과 품질을 전달하기 위해
4단계의 품질테스트와 샘플 로스팅, 커핑, 프로파일링의 빅데이터를 가지고 본연의 맛을 살린 로스팅을 합니다.
JMD는 언제나 좋은 커피와 함께 여러분들에게 찾아갈 준비가 되어있습니다.",경기 고양시 일산동구 장대길 75-53 나동 1층 JMD Coffee Factory,https://d2wosiipoa41qn.cloudfront.net/yigVBzLfr4toiLIF_R_8ng9xNZM=/200x200/s3.ap-northeast-2.amazonaws.com/koke-uploads/images/20230206/5f4636ac80a34b419c20db3446d67073.jpeg
489,Snokel (스노클),UFO 커피로스터스,"U nique 유니크한
F lavor 향과 맛의
O rchestratiom 조화로움
UFO coffee Co.는 좋은 커피를 만들기 위해 재료 선정부터 많은 노력을 하고 있습니다.
좋은 품질 유지를 위해 우리가 경험하는 커피가 어떤 농부의 손에서 세심하게 관리되어 왔는지 추척가능한 생두를 고집하여 사용합니다.
그리고 신뢰를 바탕으로 두터운 관계 유지와 상생을 도모하는 지속 가능성에 초점을 맞추고 있습니다.
UFO coffee Co.는 좋은 단맛과 밸런스를 바탕으로 공감하는 커피를 만듭니다.",서울시 관악구 은천로 39,https://d2wosiipoa41qn.cloudfront.net/lhWrQOIJp9DGA0ragz7SvUvP9qc=/200x200/s3.ap-northeast-2.amazonaws.com/koke-uploads/images/20221227/5ff8b6676baa4f3c8c673284541ad3ff.jpeg
490,디카페인 싱글 오리진 커피,링크 커피 로스터스,"""We link mind to mind."" 링크에프엔비는 커피가 자라는 산지에서 한 잔의 커피가 완성되는 순간까지, 커피의 모든 순간 속의 마음을 담아 원두를 로스팅 합니다.
커피의 달고 시고 쓴 맛이 조화로운 밸런스가 좋은 커피, 마지막 한 모금까지 맛있는 깔끔한 커피를 만듭니다.","전라남도 장성군 진원면 나노산단2로 52, 205호",https://d2wosiipoa41qn.cloudfront.net/GcYNrsLE5GrBYesoDb-aWC2ZdEw=/200x200/s3.ap-northeast-2.amazonaws.com/koke-uploads/images/20220503/1eef96febd4b410e853e7f51c720c859.jpeg
491,파나마 페리엔 게이샤 워시드,오프사이트,"[ OFF-SIGHT ]
시각적 이미지는 우리에게 유용한 정보를 가져다주지만 때론 중요한 본질을 놓치게 만들기도 합니다.
커피를 마시는 공간, 그리고 잔 안에 담긴 음료,
그 이상의 가치를 담아내기 위해 오프사이트는 오늘도 노력합니다.
철저하게 테스트를 거쳐 선별된 생두로 로스팅하며, 일반 소비자분들께도 충분히 설득력있는 맛을 표현해드리고자 노력합니다.",경기도 파주시 조리읍 고봉로 929 2층,https://d2wosiipoa41qn.cloudfront.net/vQO8PHi16Sae9qNscalsoaeTZ_4=/200x200/s3.ap-northeast-2.amazonaws.com/koke-uploads/images/20230407/34b073f231234c808d743226c7f8f6f6.png
492,브라질 I.P 아카이아 내추럴,블랙빈스,"좋은 커피의 시작, 블랙빈스
블랙빈스는 정직하고 정의로운 커피를 추구하며 ""누구나 즐길 수 있는 커피를 정직하게 생산하자""라는 모토 하에 회사를 성장시키고 있습니다.
가성비 원두부터 프리미엄 라인의 커피를 일정하게 생산할 수 있도록 일일 Q.C 작업 및 로스팅 그래프를 통해 체계적인 관리를 하고 있습니다.
단순 납품에서 끝이 아닌 지속적인 세팅 안내 및 소통을 통한 유대관계를 형성해드릴 수 있도록 노력 하고 있습니다.
오전 10시 까지 주문건에 한하여 당일 발송 진행 하고 있습니다.",서울특별시 영등포구 문래로 20길 60 501호,https://d2wosiipoa41qn.cloudfront.net/4ln0uGqZyUjNZR9FmRVuSoPNc2E=/200x200/s3.ap-northeast-2.amazonaws.com/koke-uploads/images/20220706/51230641540242bc835e94f7ea0c88ce.jpeg
493,브라질 옐로우버번 MWP 디카페인원두,원더월 커피 로스터스,"원더월은 일방적인 로스터의 생각이나 공감되지 않는 커피의 산미와 개성에만 집중하는 것이 아닌 모든 사람들이 좋아하고 누구나 쉽게 마실 수 있는 커피를 추구합니다.

맛있는 커피를 마실 때 나오는 행복감을 원더월과 함께 공유할 수 있으면 좋겠습니다.",서울 동대문구 답십리로 80 1층,https://d2wosiipoa41qn.cloudfront.net/xjjC317vbUAaF52m5ljSU2Dqsqo=/200x200/s3.ap-northeast-2.amazonaws.com/koke-uploads/images/20230527/ca207c040f364c05b85e7cae834ba654.png
494,케냐 AA 워시드,브니엘 커피로스터스,"브니엘 커피 로스터스는 스페셜티 커피업이 지향하는 지속가능성을 산지 농부들에게만 관심을 두는 것이 아니라 이 땅의 소외받는 약자들에게 실현하는 것을 목표로 세운 회사입니다.
""컵에서 신의 얼굴을 보았다"" 게이샤 커피가 등장했을 때 심사위원이 했던 저 말처럼 스페셜티 커피를 처음 접하는 사람들께 같은 감동을 드리기 위해 노력합니다.",서울특별시 양천구 신월동 150-14,https://d2wosiipoa41qn.cloudfront.net/vjS9F7Yril4taL8hakPXIP70fx8=/200x200/s3.ap-northeast-2.amazonaws.com/koke-uploads/images/20230216/1293a51a25e84a66bc51a6c992f6493c.jpeg
495,콜롬비아 핀카 라 레세르바 카투라치로소,180커피로스터스,"180커피로스터스는 180도 생각의 전환이라는 뜻을 가지고 있습니다.
우리는 단순한 카페 브랜드이기보다는 커피 로스팅과 커핑, 추출까지 이뤄지는 복합공간이자 올바르고 재밌는 커피 문화 확장을 위해 적극적인 응원을 지원하는 컬처 클럽과도 같습니다.
마니아뿐만 아니라 누구나 즐길 수 있는 스페셜티 커피 문화를 만들어가는데 최선을 다하고 있습니다.",경기 성남시 분당구 문정로144번길 4,https://d2wosiipoa41qn.cloudfront.net/j5QPmenjGBbECz8galnFurmJXBQ=/200x200/s3.ap-northeast-2.amazonaws.com/koke-uploads/images/20220718/696e87d2b1c6458b9a8b0882a7184997.jpeg
496,에티오피아 예가체프 아리차 G1 워시드,커스프 커피,"커스프는 스텀프타운에서 시작한 20년 경력의 대표 로스터 JAY가 창업한 뉴욕 브루클린의 로스터리 카페 입니다. 커스프는 한국에 로스터리를 구축하여 JAY가 만들어낸 커스프만의 특별한 로스팅 프로파일을 소개하고 있습니다. 뉴욕의 트렌디한 커피 커스프를 경험해보세요!

커스프는 주문 건에 대한 당일 로스팅으로 신선한 원두를 제공해드리고 있으며, 커스프팀 소속의 로스터, 바리스타 한명 한명은 매일매일 진심을 다해 커피를 볶습니다.",서울시 강남구 학동로31길 12 7F,https://d2wosiipoa41qn.cloudfront.net/UxPzmLPGTTk3ugMu0OciCmGHtMA=/200x200/s3.ap-northeast-2.amazonaws.com/koke-uploads/images/20230309/a90a20ebb3fc438586d214d830f69d54.png
497,샹젤리제 블렌딩,웨이즈커피,"'커피를 즐기는 다양한 방법이 이어지는 길'

다양한 원두, 다양한 추출 방법이 존재하지만 누가 추출하여도 맛있는 커피를 즐기실 수 있도록 노력합니다. 원두 납품에서 끝나는 것이 아닌 전문 바리스타가 노하우와 방법을 알려 드리고 도와드립니다.
대표가 직접 로스팅 하는 원두 맛집 웨이즈커피의 커피를 경험해 보세요.",서울 마포구 동교로46길 42-20 2층,https://d2wosiipoa41qn.cloudfront.net/06LKW6qng9ioY24gnu8cbIdtGoU=/200x200/s3.ap-northeast-2.amazonaws.com/koke-uploads/images/20221111/7faa8ee2dc294c77a5a3bc6c0b304679.jpeg
498,디카페인 스윗 블라썸 블렌드,디카커피랩,"디카커피랩은 국내 최초 디카페인 전문 로스터리입니다.

생두 선별부터 로스팅, 디게싱 과정에 이르는 전 생산 공정에 디카페인 커피에 최적화된 테크닉을 적용하여 가장 맛있는 디카페인 커피를 만들고 있습니다.

누구나 즐길 수 있는 맛있는 디카페인 커피를 통해 일상 속에서 더욱 행복한 시간을 선사해드립니다.",서울 강남구 영동대로 602 6층,https://d2wosiipoa41qn.cloudfront.net/wWC1lhJTjRge_KQQoZ6zYr0hHAg=/200x200/s3.ap-northeast-2.amazonaws.com/koke-uploads/images/20210617/dc91807cfef54f47ab2578bc9649f844.png
499,디카페인 블렌드 위켄드,커넥츠커피,"커피는 우리 일상에서 많은 것들을 이어주는 연결고리 역할을 합니다.
커넥츠커피도 이러한 '연결'을 모토로 삼아 다양한 연결고리로서의 역할을 하려고 합니다.
we & customers : 우리가 먼저 고객과 연결되어 소통하려고 합니다.
farmers & customers : 여러 나라의 농장에서 생산된 다양한 커피 생두를 고객에게 선보이고 알리고 싶습니다.
roasters & customers :국내외 로스터리 카페의 개성있는 원두를 게스트빈으로 소개합니다.
people :궁극적으로 커피를 통해 많은 사람들이 행복해지는 문화를 만들겠습니다.",서울 마포구 성지길 60,https://d2wosiipoa41qn.cloudfront.net/hWl7g-8C2GCVSf-aaJqcA8kUcE0=/200x200/s3.ap-northeast-2.amazonaws.com/koke-uploads/images/20211206/aaaa250b45c04a098324e8b016790369.png
500,몽상스,나무사이로,"2002년에 시작한 나무사이로는 한 잔의 커피로 우리의 일상이 풍요로워지기를 바랍니다.
지속적으로 산지를 방문하여 농부•생산업자와 소통하며 좋은 재료와 논리적인 로스팅, 철저한 품질관리를 기반으로 커피가 가진 다양한 매력을 소개합니다.","경기도 성남시 분당구 석운로 33, 나무사이로",https://d2wosiipoa41qn.cloudfront.net/xMquZT5Oe8H21G95qROoIjf-tKM=/200x200/s3.ap-northeast-2.amazonaws.com/koke-uploads/images/20210528/db4d3d8aa1014e739ff651f24994d35f.png
501,블랙 스트림 4kg,루비아 커피,"루비아는 편안하지만 특별한 한 잔을 제공 합니다.

커피가 가진 깊고 진한 풍미에 스페셜티의 특별함을 더합니다.
풀시티로 로스팅 되는 루비아의 커피들과 함께 스페셜티 커피의 다음을 만나 보세요.","경기도 성남시 중원구 사기막골로 124, 비즈센터 1412호 루비아",https://d2wosiipoa41qn.cloudfront.net/RHHevs61YwDv8CkPlU3VIABbG0Q=/200x200/s3.ap-northeast-2.amazonaws.com/koke-uploads/images/20230807/bf743cab9218454b865ccb15ea35e51d.png
502,Ethiopia Guji G1(에티오피아 구지 G1),마그마커피,"마그마 커피는 세계 커피 산업에서 수십 년 동안 활동해 온 '토마스 하지스(Thomas L. Hodges)'와 '아르만도 시에라(Armando Sierra)' 두 사람의 오랜 경험과 가치를 한국 커피 시장에 전하고자 합니다.
전 세계 산지를 돌며 엄선한 스페셜티 커피를 다이렉트 트레이드하고 있는 마그마 커피는 수십 년에 걸쳐 축적된 노하우를 토대로 생두 수입부터 원두 로스팅까지 전 과정을 세심하게 QC하고 있으며, 각각의 커피가 가진 개성을 살려 최상의 기술로 로스팅 합니다.
마그마 커피는 커피가 가진 본연의 맛을 온전히 느낄 수 있도록, 마지막 한 모금까지 기분 좋게 마실 수 있는 균형감 있는 스페셜티 커피를 제공합니다.",서울특별시 강남구 학동로50길 42 302호,https://d2wosiipoa41qn.cloudfront.net/Ci4T2m3NpH-hy6oN5PFNvGhDDls=/200x200/s3.ap-northeast-2.amazonaws.com/koke-uploads/images/20230703/94ee3ae8b9da4a9fa1af96f3fa14f97c.jpeg
503,케냐 뚱구리 AA TOP 워시드,필리그리커피,"필리그리커피는 커피가 가진 섬세함에 집중합니다.
커피맛에 영향을 주는 수많은 변수들을 최대한 통제하고 가장 맛있는 한 잔이 만들어 질 수 있는 방법을 고민합니다.
품질 좋은 생두를 엄격하게 선별하고 생두에 가해지는 데미지를 최소화하는 로스팅 기술을 적용해 변함없이 맛있게 즐길 수 있는 커피를 제공해 드립니다.
[회사 연혁]
2014년 스페셜티커피 전문점 어썸드립커피 오픈
2020년 고재커피로스터스로 원두 납품 시작
2022년 원두 가공 납품 회사 필리그리커피 법인 및 로스팅 공장 설립
2023년 SCI 기술평가 우수기업 인증
어썸드립커피 프랜차이즈 사업 시작
- 14년 인천삼산본점 12월 오픈
- 23년 인천논현점 3월 오픈
- 23년 부천중동점 6월 오픈
[사용 장비]
로스터기 : 디드릭 IR-12 / 디드릭 IR-2.5 / 이카와 PRO50
커피머신 : 키스반더웨스턴 스피릿 2G
그라인더 : 빅토리아 아르두이노 미토스원 / 메저 로버S / 디팅 807스윗랩
측정기 : 싱크포",경기도 부천시 중동로356번길 6 필리그리커피,https://d2wosiipoa41qn.cloudfront.net/U9OdJRWB5hl_t5ByT_pg1OktLRc=/200x200/s3.ap-northeast-2.amazonaws.com/koke-uploads/images/20230428/2da98eb98a9644f7bdd0b2ddc79fb5e5.png
